comp_gecodb	comp_lemma	comp_freq	n1_lemma	n1_freq	n1_prod	n1_mass_freq	n2_lemma	n2_freq
ankündigung_+s_rhetorik	Ankündigungsrhetorik	51	ankündigung	295299	11	2648	rhetorik	53284
verfall_monat	Verfallmonat	30	verfall	87654	23	16803	monat	5208397
spezialität_+en_hersteller	Spezialitätenhersteller	37	spezialität	151034	33	7249	hersteller	646302
lumpen_kiste	Lumpenkiste	51	lumpen	248	20	5724	kiste	160613
gebäck_zange	Gebäckzange	25	gebäck	42577	25	2835	zange	22080
gebäck_ware	Gebäckware	26	gebäck	42577	25	2835	ware	703735
auswanderer_kind	Auswandererkind	45	auswanderer	20910	29	5249	kind	11283159
ausgrabung_+s_zeit	Ausgrabungszeit	23	ausgrabung	38010	27	11058	zeit	10557899
verfall_+s_grenze	Verfallsgrenze	24	verfall	87654	23	16803	grenze	1616592
spezialität_+en_korb	Spezialitätenkorb	35	spezialität	151034	33	7249	korb	141538
kaution_+s_verhandlung	Kautionsverhandlung	22	kaution	43746	20	2799	verhandlung	901717
gebäck_spende	Gebäckspende	56	gebäck	42577	25	2835	spende	339086
ausgrabung_+s_camp	Ausgrabungscamp	31	ausgrabung	38010	27	11058	camp	134726
vorsatz_liste	Vorsatzliste	21	vorsatz	73038	11	1176	liste	646620
schrot_geschoss	Schrotgeschoss	22	schrot	6442	15	11427	geschoss	66024
auswanderer_geschäft	Auswanderergeschäft	24	auswanderer	20910	29	5249	geschäft	1891578
auswanderer_beratung	Auswandererberatung	25	auswanderer	20910	29	5249	beratung	847488
auswanderer_ausstellung	Auswandererausstellung	21	auswanderer	20910	29	5249	ausstellung	2116581
ausgrabung_+s_zelt	Ausgrabungszelt	27	ausgrabung	38010	27	11058	zelt	257843
spezialität_+en_teller	Spezialitätenteller	46	spezialität	151034	33	7249	teller	152738
spezialität_+en_bereich	Spezialitätenbereich	25	spezialität	151034	33	7249	bereich	3022379
prüfer_vergütung	Prüfervergütung	22	prüfer	88816	11	902	vergütung	88844
auswanderer_treck	Auswanderertreck	21	auswanderer	20910	29	5249	treck	6675
auswanderer_bewegung	Auswandererbewegung	25	auswanderer	20910	29	5249	bewegung	880576
auswanderer_agentur	Auswandereragentur	21	auswanderer	20910	29	5249	agentur	437152
ausgrabung_+s_helfer	Ausgrabungshelfer	34	ausgrabung	38010	27	11058	helfer	821602
lumpen_suppe	Lumpensuppe	21	lumpen	248	20	5724	suppe	108331
gebäck_fabrik	Gebäckfabrik	168	gebäck	42577	25	2835	fabrik	226997
ausgrabung_+s_firma	Ausgrabungsfirma	22	ausgrabung	38010	27	11058	firma	2925009
widerruf_+s_vergleich	Widerrufsvergleich	51	widerruf	17718	18	13269	vergleich	1415950
vorhersage_region	Vorhersageregion	35	vorhersage	52767	16	1448	region	3277424
verdunstung_+s_anlage	Verdunstungsanlage	30	verdunstung	6130	13	1788	anlage	1195984
ausgrabung_+s_aktion	Ausgrabungsaktion	36	ausgrabung	38010	27	11058	aktion	1661612
verfall_+s_phase	Verfallsphase	22	verfall	87654	23	16803	phase	532977
gebäck_kringel	Gebäckkringel	26	gebäck	42577	25	2835	kringel	4300
auswanderer_buch	Auswandererbuch	20	auswanderer	20910	29	5249	buch	2731652
spezialität_+en_platte	Spezialitätenplatte	26	spezialität	151034	33	7249	platte	264291
spezialität_+en_büfett	Spezialitätenbüfett	74	spezialität	151034	33	7249	büfett	32261
kaution_+s_bedingung	Kautionsbedingung	56	kaution	43746	20	2799	bedingung	777683
auswanderer_paar	Auswandererpaar	26	auswanderer	20910	29	5249	paar	628289
auswanderer_liste	Auswandererliste	87	auswanderer	20910	29	5249	liste	646620
prüfer_markt	Prüfermarkt	81	prüfer	88816	11	902	markt	2649376
lumpen_zug	Lumpenzug	77	lumpen	248	20	5724	zug	1567848
lumpen_bruder	Lumpenbruder	20	lumpen	248	20	5724	bruder	932838
kaution_+s_verpflichtung	Kautionsverpflichtung	28	kaution	43746	20	2799	verpflichtung	341621
spezialität_+en_messe	Spezialitätenmesse	52	spezialität	151034	33	7249	messe	550021
spezialität_+en_führer	Spezialitätenführer	24	spezialität	151034	33	7249	führer	183956
prüfer_rotation	Prüferrotation	51	prüfer	88816	11	902	rotation	39720
kaution_+s_angebot	Kautionsangebot	25	kaution	43746	20	2799	angebot	2750423
gebäck_verkauf	Gebäckverkauf	39	gebäck	42577	25	2835	verkauf	967700
gebäck_stand	Gebäckstand	25	gebäck	42577	25	2835	stand	1167927
ankündigung_+s_senator	Ankündigungssenator	69	ankündigung	295299	11	2648	senator	215275
ankündigung_+s_politiker	Ankündigungspolitiker	25	ankündigung	295299	11	2648	politiker	1300001
widerruf_+s_prüfung	Widerrufsprüfung	21	widerruf	17718	18	13269	prüfung	607302
prüfer_stelle	Prüferstelle	27	prüfer	88816	11	902	stelle	1639478
