entry	freq
Abendrunde	489.0
Abendräucherung	0.0
Abendröte	1358.0
Abendsang	0.0
Abendsauna	1.0
Abendsbeleuchtung	0.0
Abendsberg	71.0
Abendschatten	61.0
Abendschau	4138.0
Abendschauer	0.0
Abendschein	271.0
Abendschicht	351.0
Abendschiene	38.0
Abendschiff	8.0
Abendschimmer	14.0
Abendschlaf	2.0
Abendschluss	0.0
Abendschläfchen	0.0
Abendschmaus	130.0
Abendschmetterling	0.0
Abendschmuck	20.0
Abendschoppen	213.0
Abendschuh	98.0
Abendschule	5039.0
Abendschulung	54.0
Abendschwester	0.0
Abendschwärmer	21.0
Abendschwüle	13.0
Abendschüler	257.0
Abendschülerin	34.0
Abendsegel	0.0
Abendsegen	2151.0
Abendsegler	2046.0
Abendseite	21.0
Abendsekretärin	1.0
Abendsendung	423.0
Abendsessen	8.0
Abendsgebet	0.0
Abendshow	1778.0
